"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"44","0.58","SMART","ZnMc","3","372","42","13267","0.40","3.29e-1","1.00e+0","2.55","1.00e+0","1.00e+0","1.13e-1","ENSDARG00000017676,ENSDARG00000112495,ENSDARG00000009825"
"44","0.58","INTERPRO","Peptidase_Metallo","3","719","42","23408","0.40","3.71e-1","1.00e+0","2.33","1.00e+0","1.00e+0","1.38e-1","ENSDARG00000017676,ENSDARG00000112495,ENSDARG00000009825"
"44","0.58","GOTERM_BP_DIRECT","extracellular matrix organization","4","644","115","20756","0.54","6.96e-1","1.00e+0","1.12","1.00e+0","1.00e+0","4.80e-1","ENSDARG00000017676,ENSDARG00000112495,ENSDARG00000102478,ENSDARG00000009825"
"44","0.58","GOTERM_CC_DIRECT","extracellular matrix","8","683","267","22190","1.07","7.17e-1","1.00e+0","0.97","1.00e+0","9.97e-1","5.81e-1","ENSDARG00000031483,ENSDARG00000017676,ENSDARG00000101980,ENSDARG00000112495,ENSDARG00000058414,ENSDARG00000024847,ENSDARG00000102478,ENSDARG00000009825"
"45","0.57","INTERPRO","AH/BAR_dom_sf","7","719","106","23408","0.94","1.08e-1","1.00e+0","2.15","1.00e+0","1.00e+0","4.50e-2","ENSDARG00000017785,ENSDARG00000078326,ENSDARG00000079377,ENSDARG00000011449,ENSDARG00000013360,ENSDARG00000078014,ENSDARG00000026329"
"45","0.57","UP_SEQ_FEATURE","DOMAIN:SH3","11","656","265","21277","1.48","3.00e-1","1.00e+0","1.35","1.00e+0","1.00e+0","1.97e-1","ENSDARG00000034409,ENSDARG00000061798,ENSDARG00000017785,ENSDARG00000078326,ENSDARG00000057984,ENSDARG00000100119,ENSDARG00000071037,ENSDARG00000079377,ENSDARG00000013360,ENSDARG00000078014,ENSDARG00000101169"
"45","0.57","SMART","SH3","10","372","261","13267","1.34","3.09e-1","1.00e+0","1.37","1.00e+0","1.00e+0","1.97e-1","ENSDARG00000034409,ENSDARG00000017785,ENSDARG00000078326,ENSDARG00000057984,ENSDARG00000100119,ENSDARG00000071037,ENSDARG00000079377,ENSDARG00000013360,ENSDARG00000078014,ENSDARG00000101169"
"45","0.57","INTERPRO","SH3-like_dom_sf","11","719","283","23408","1.48","3.66e-1","1.00e+0","1.27","1.00e+0","1.00e+0","2.59e-1","ENSDARG00000034409,ENSDARG00000061798,ENSDARG00000017785,ENSDARG00000078326,ENSDARG00000057984,ENSDARG00000100119,ENSDARG00000071037,ENSDARG00000079377,ENSDARG00000013360,ENSDARG00000078014,ENSDARG00000101169"
"45","0.57","INTERPRO","SH3_domain","11","719","284","23408","1.48","3.74e-1","1.00e+0","1.26","1.00e+0","1.00e+0","2.61e-1","ENSDARG00000034409,ENSDARG00000061798,ENSDARG00000017785,ENSDARG00000078326,ENSDARG00000057984,ENSDARG00000100119,ENSDARG00000071037,ENSDARG00000079377,ENSDARG00000013360,ENSDARG00000078014,ENSDARG00000101169"
"46","0.56","GOTERM_BP_DIRECT","calcium-mediated signaling","5","644","57","20756","0.67","9.99e-2","1.00e+0","2.83","1.00e+0","1.00e+0","3.15e-2","ENSDARG00000105363,ENSDARG00000069028,ENSDARG00000061304,ENSDARG00000079829,ENSDARG00000105467"
