"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"45","0.92","GOTERM_MF_DIRECT","protein kinase activator activity","3","1186","18","21154","0.22","2.67e-1","1.00e+0","2.97","1.00e+0","1.00e+0","7.65e-2","ENSDARG00000019113,ENSDARG00000023214,ENSDARG00000012953"
"46","0.91","SMART","ZnF_ZZ","4","772","18","13267","0.29","8.32e-2","1.00e+0","3.82","1.00e+0","1.00e+0","1.81e-2","ENSDARG00000100666,ENSDARG00000075014,ENSDARG00000103609,ENSDARG00000031015"
"46","0.91","INTERPRO","Znf_ZZ_sf","4","1340","20","23408","0.29","1.03e-1","1.00e+0","3.49","1.00e+0","1.00e+0","2.48e-2","ENSDARG00000100666,ENSDARG00000075014,ENSDARG00000103609,ENSDARG00000031015"
"46","0.91","INTERPRO","Znf_ZZ","4","1340","20","23408","0.29","1.03e-1","1.00e+0","3.49","1.00e+0","1.00e+0","2.48e-2","ENSDARG00000100666,ENSDARG00000075014,ENSDARG00000103609,ENSDARG00000031015"
"46","0.91","UP_SEQ_FEATURE","DOMAIN:ZZ-type","3","1250","17","21277","0.22","2.63e-1","1.00e+0","3.00","1.00e+0","1.00e+0","7.43e-2","ENSDARG00000075014,ENSDARG00000103609,ENSDARG00000031015"
"47","0.89","INTERPRO","His_PPase_superfam","6","1340","28","23408","0.44","1.99e-2","1.00e+0","3.74","1.00e+0","1.00e+0","4.42e-3","ENSDARG00000057571,ENSDARG00000002037,ENSDARG00000023840,ENSDARG00000040064,ENSDARG00000037140,ENSDARG00000045172"
"47","0.89","KEGG_PATHWAY","Fructose and mannose metabolism","5","542","45","21890","0.36","2.47e-2","7.19e-2","4.49","9.86e-1","3.93e-2","4.93e-3","ENSDARG00000002037,ENSDARG00000023840,ENSDARG00000060797,ENSDARG00000101482,ENSDARG00000037140"
"47","0.89","INTERPRO","PG/BPGM_mutase_AS","4","1340","17","23408","0.29","6.97e-2","1.00e+0","4.11","1.00e+0","1.00e+0","1.40e-2","ENSDARG00000057571,ENSDARG00000002037,ENSDARG00000023840,ENSDARG00000037140"
"47","0.89","SMART","PGAM","4","772","18","13267","0.29","8.32e-2","1.00e+0","3.82","1.00e+0","1.00e+0","1.81e-2","ENSDARG00000057571,ENSDARG00000002037,ENSDARG00000023840,ENSDARG00000037140"
"47","0.89","PIR_SUPERFAMILY","6PFK_2-Ptase","4","153","14","1890","0.29","9.63e-2","1.00e+0","3.53","1.00e+0","1.00e+0","2.17e-2","ENSDARG00000057571,ENSDARG00000002037,ENSDARG00000023840,ENSDARG00000037140"
"47","0.89","INTERPRO","His_Pase_superF_clade-1","4","1340","20","23408","0.29","1.03e-1","1.00e+0","3.49","1.00e+0","1.00e+0","2.48e-2","ENSDARG00000057571,ENSDARG00000002037,ENSDARG00000023840,ENSDARG00000037140"
"47","0.89","GOTERM_MF_DIRECT","6-phosphofructo-2-kinase activity","3","1186","11","21154","0.22","1.23e-1","1.00e+0","4.86","1.00e+0","1.00e+0","2.07e-2","ENSDARG00000002037,ENSDARG00000023840,ENSDARG00000037140"
"47","0.89","INTERPRO","6Phosfructo_kin","3","1340","11","23408","0.22","1.28e-1","1.00e+0","4.76","1.00e+0","1.00e+0","2.18e-2","ENSDARG00000002037,ENSDARG00000023840,ENSDARG00000037140"
"47","0.89","INTERPRO","6Pfruct_kin","3","1340","11","23408","0.22","1.28e-1","1.00e+0","4.76","1.00e+0","1.00e+0","2.18e-2","ENSDARG00000002037,ENSDARG00000023840,ENSDARG00000037140"
"47","0.89","UP_SEQ_FEATURE","DOMAIN:6-phosphofructo-2-kinase","3","1250","11","21277","0.22","1.33e-1","1.00e+0","4.64","1.00e+0","1.00e+0","2.34e-2","ENSDARG00000002037,ENSDARG00000023840,ENSDARG00000037140"
"47","0.89","GOTERM_BP_DIRECT","fructose 2,6-bisphosphate metabolic process","3","1221","11","20756","0.22","1.34e-1","1.00e+0","4.64","1.00e+0","1.00e+0","2.35e-2","ENSDARG00000002037,ENSDARG00000023840,ENSDARG00000037140"
"47","0.89","GOTERM_MF_DIRECT","fructose-2,6-bisphosphate 2-phosphatase activity","3","1186","13","21154","0.22","1.63e-1","1.00e+0","4.12","1.00e+0","1.00e+0","3.29e-2","ENSDARG00000002037,ENSDARG00000023840,ENSDARG00000037140"
"47","0.89","GOTERM_BP_DIRECT","fructose metabolic process","3","1221","14","20756","0.22","1.97e-1","1.00e+0","3.64","1.00e+0","1.00e+0","4.54e-2","ENSDARG00000002037,ENSDARG00000023840,ENSDARG00000037140"
